The Verifier - November 2006. Data as of December 7, 2025.
FIPS code,State,Jurisdiction,Registered Voters,Precincts,Voting Location,All Mail Ballot?,Election Day Marking Method,Election Day Tabulation
"0100100000","Alabama","Autauga County","29652","25","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100300000","Alabama","Baldwin County","97858","48","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100500000","Alabama","Barbour County","16395","22","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100700000","Alabama","Bibb County","12030","10","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0100900000","Alabama","Blount County","28919","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101100000","Alabama","Bullock County","7214","18","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101300000","Alabama","Butler County","13492","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101500000","Alabama","Calhoun County","66437","54","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101700000","Alabama","Chambers County","21781","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0101900000","Alabama","Cherokee County","14264","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102100000","Alabama","Chilton County","24395","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102300000","Alabama","Choctaw County","10839","43","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102500000","Alabama","Clarke County","17598","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102700000","Alabama","Clay County","9682","25","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0102900000","Alabama","Cleburne County","8705","18","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103100000","Alabama","Coffee County","25257","37","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103300000","Alabama","Colbert County","33328","37","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103500000","Alabama","Conecuh County","9784","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103700000","Alabama","Coosa County","7972","14","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103900000","Alabama","Covington County","20437","30","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104100000","Alabama","Crenshaw County","8666","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104300000","Alabama","Cullman County","47843","54","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104500000","Alabama","Dale County","27048","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104700000","Alabama","Dallas County","29862","32","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104900000","Alabama","DeKalb County","35691","51","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105100000","Alabama","Elmore County","38347","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105300000","Alabama","Escambia County","19835","35","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105500000","Alabama","Etowah County","59109","58","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105700000","Alabama","Fayette County","10425","29","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105900000","Alabama","Franklin County","19351","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106100000","Alabama","Geneva County","14439","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106300000","Alabama","Greene County","7652","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106500000","Alabama","Hale County","11870","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106700000","Alabama","Henry County","11080","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106900000","Alabama","Houston County","52565","38","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107100000","Alabama","Jackson County","32709","43","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107300000","Alabama","Jefferson County","397619","190","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107500000","Alabama","Lamar County","10856","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107700000","Alabama","Lauderdale County","50585","40","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107900000","Alabama","Lawrence County","21475","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108100000","Alabama","Lee County","72484","25","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108300000","Alabama","Limestone County","39438","35","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108500000","Alabama","Lowndes County","10289","15","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108700000","Alabama","Macon County","16279","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108900000","Alabama","Madison County","183505","108","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109100000","Alabama","Marengo County","14500","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109300000","Alabama","Marion County","19114","23","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109500000","Alabama","Marshall County","45888","47","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109700000","Alabama","Mobile County","235677","187","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109900000","Alabama","Monroe County","15818","34","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110100000","Alabama","Montgomery County","128476","125","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110300000","Alabama","Morgan County","63232","59","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110500000","Alabama","Perry County","8841","18","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110700000","Alabama","Pickens County","13142","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110900000","Alabama","Pike County","16917","29","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111100000","Alabama","Randolph County","15261","49","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111300000","Alabama","Russell County","27792","22","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
