The Verifier - November 2018. Data as of December 7, 2025.
FIPS code,State,Jurisdiction,Equipment Type,Manufacturer,Model,First Year in Use,QR/Barcode,VVPAT,Election Day Standard,Election Day Accessible,Early Voting Standard,Early Voting Accessible,Mail Ballot/Absentee Equipment,Notes on usage
"0100100000","Alabama","Autauga County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0100100000","Alabama","Autauga County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0100100000","Alabama","Autauga County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0100100000","Alabama","Autauga County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0100300000","Alabama","Baldwin County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0100300000","Alabama","Baldwin County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0100300000","Alabama","Baldwin County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0100300000","Alabama","Baldwin County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0100500000","Alabama","Barbour County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0100500000","Alabama","Barbour County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0100500000","Alabama","Barbour County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0100500000","Alabama","Barbour County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0100700000","Alabama","Bibb County","Hand-Fed Optical Scanner","ES&S","Model 100","2004","N/A","N/A","Yes","No","No","No","Yes","",
"0100700000","Alabama","Bibb County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0100700000","Alabama","Bibb County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0100700000","Alabama","Bibb County","Paper Poll Book","Not Applicable","Not Applicable","","N/A","N/A","Yes","No","No","No","No","",
"0100900000","Alabama","Blount County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0100900000","Alabama","Blount County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0100900000","Alabama","Blount County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0100900000","Alabama","Blount County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0101100000","Alabama","Bullock County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0101100000","Alabama","Bullock County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0101100000","Alabama","Bullock County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0101100000","Alabama","Bullock County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0101300000","Alabama","Butler County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0101300000","Alabama","Butler County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0101300000","Alabama","Butler County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0101300000","Alabama","Butler County","Commercial Electronic Poll Book","ES&S","ExpressPoll","","N/A","N/A","Yes","No","No","No","No","",
"0101500000","Alabama","Calhoun County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0101500000","Alabama","Calhoun County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0101500000","Alabama","Calhoun County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0101500000","Alabama","Calhoun County","Commercial Electronic Poll Book","ES&S","ExpressPoll","","N/A","N/A","Yes","No","No","No","No","",
"0101700000","Alabama","Chambers County","Hand-Fed Optical Scanner","ES&S","Model 100","2006","N/A","N/A","Yes","No","No","No","Yes","",
"0101700000","Alabama","Chambers County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0101700000","Alabama","Chambers County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0101700000","Alabama","Chambers County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0101900000","Alabama","Cherokee County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0101900000","Alabama","Cherokee County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0101900000","Alabama","Cherokee County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0101900000","Alabama","Cherokee County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0102100000","Alabama","Chilton County","Hand-Fed Optical Scanner","ES&S","DS200","2014","N/A","N/A","Yes","No","No","No","Yes","",
"0102100000","Alabama","Chilton County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0102100000","Alabama","Chilton County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0102100000","Alabama","Chilton County","Commercial Electronic Poll Book","KNOWiNK","Poll Pad","","N/A","N/A","Yes","No","No","No","No","",
"0102300000","Alabama","Choctaw County","Hand-Fed Optical Scanner","ES&S","Model 100","2004","N/A","N/A","Yes","No","No","No","Yes","",
"0102300000","Alabama","Choctaw County","Ballot Marking Device","ES&S","AutoMARK","2006","No","N/A","No","Yes","No","No","No","",
"0102300000","Alabama","Choctaw County","Internet Voting: Web Portal","Votem","CastIron","2018","N/A","N/A","No","No","No","No","Yes","Military and overseas voters outside the U.S.",
"0102300000","Alabama","Choctaw County","Commercial Electronic Poll Book","ES&S","ExpressPoll","","N/A","N/A","Yes","No","No","No","No","",
